ticker,shares,price,notional,fee,date
GOOGL,-3.348090768653088,176.23,590.0340361597337,0.5900340361597337,2025-06-30
SPY,-0.8085032677069327,617.85,499.5337439527284,0.4995337439527284,2025-06-30
UBER,-47.481110913190726,93.3,4429.987648200695,4.429987648200695,2025-06-30
QSR,89.6839998334226,66.29,5945.152348957585,5.945152348957585,2025-06-30
HHH,22.78644184311,67.5,1538.084824409925,1.538084824409925,2025-06-30
MSFT,-3.7463094001664383,497.41,1863.4517587367882,1.8634517587367883,2025-06-30
CMG,-71.15653245396005,56.15,3995.4392972898568,3.995439297289857,2025-06-30
GOOG,-1.7808070981801292,177.39,315.8973711461731,0.3158973711461731,2025-06-30
CP,27.640258075463592,79.27,2191.043257641999,2.191043257641999,2025-06-30
SE,13.140852103508095,159.94,2101.7478854350848,2.101747885435085,2025-06-30
HLT,-4.222348288659427,266.34,1124.5802432015516,1.1245802432015517,2025-06-30
AMZN,-3.681599831042033,219.39,807.7061869323115,0.8077061869323116,2025-06-30
NVDA,-20.608018849004207,157.99,3255.860897954175,3.255860897954175,2025-06-30
V,4.400803789727607,355.05,1562.5053855427868,1.5625053855427868,2025-06-30
OXY,6097.939876617602,0.308,1878.1654819982214,1.8781654819982214,2025-07-30
META,8.69312699567221,695.21,6043.548818661278,6.043548818661279,2025-07-30
BN,-120.87993923426309,44.9375,5432.042269339698,5.432042269339698,2025-07-30
KHC,-219.1289435469338,28.49,6242.983601652144,6.242983601652144,2025-07-30
GOOGL,-32.10553985616596,196.53,6309.701747932297,6.309701747932297,2025-07-30
SPY,-0.6817714889507023,634.46,432.5567388796626,0.4325567388796626,2025-07-30
UBER,50.810983784343414,87.64,4453.074618859857,4.453074618859857,2025-07-30
QSR,-13.684169509527901,68.71,940.239286999662,0.940239286999662,2025-07-30
HHH,-12.639184142281644,69.98,884.4901062768695,0.8844901062768695,2025-07-30
MSFT,-1.0858252918332723,513.24,557.2889727805086,0.5572889727805086,2025-07-30
CMG,242.67446885896373,43.76,10619.434757268253,10.619434757268253,2025-07-30
GOOG,-19.678302603120805,197.44,3885.2840659601716,3.8852840659601715,2025-07-30
CP,32.45431518827448,75.71,2457.1162029042607,2.4571162029042606,2025-07-30
SE,4.979796319204679,159.25,793.0325638333451,0.7930325638333451,2025-07-30
HLT,-0.8119060641225736,273.29,221.88580826405817,0.22188580826405818,2025-07-30
AMZN,-3.8353333262627083,230.19,882.8553783724128,0.8828553783724128,2025-07-30
NVDA,-18.56275511110525,179.27,3327.7451087678382,3.3277451087678385,2025-07-30
V,2.316157350521436,350.91,812.7627758714772,0.8127627758714772,2025-07-30
CP,-515.4400216215597,76.19,39271.37524734663,39.27137524734663,2025-08-29
OXY,-25744.87955208882,0.308,7929.422902043357,7.929422902043357,2025-08-29
META,-4.0474449044354195,738.7,2989.8475509064447,2.9898475509064446,2025-08-29
UBER,215.30207168591465,93.75,20184.5692205545,20.184569220554497,2025-08-29
BN,119.076283165744,43.7719,5212.19515910263,5.21219515910263,2025-08-29
GOOGL,-11.480645050620396,212.91,2444.3441377275885,2.4443441377275885,2025-08-29
KHC,-182.2618531268367,27.97,5097.8640319576225,5.097864031957623,2025-08-29
AMZN,127.03919457494231,229.0,29091.97555766179,29.09197555766179,2025-08-29
MSFT,16.401630674524714,506.69,8310.542246474928,8.310542246474927,2025-08-29
QSR,12.132703814424872,63.33,768.3641325675271,0.7683641325675271,2025-08-29
HHH,-138.81275470200467,76.27,10587.248801121896,10.587248801121897,2025-08-29
NVDA,76.82424521982361,174.18,13381.247032388877,13.381247032388877,2025-08-29
CMG,-40.74955160385863,42.14,1717.1861045866026,1.7171861045866026,2025-08-29
SPY,-27.42781754297563,645.05,17692.31370609643,17.692313706096428,2025-08-29
GOOG,-32.080617853617966,213.53,6850.174330283045,6.8501743302830445,2025-08-29
SE,-24.124293449062385,186.54,4500.1456999880975,4.5001456999880975,2025-08-29
HLT,-15.608093485842755,276.06,4308.770287701751,4.308770287701751,2025-08-29
V,0.5731182707585529,351.78,201.61154528744373,0.20161154528744374,2025-08-29
IVV,38.83149720803218,648.32,25175.236269911427,25.175236269911426,2025-08-29
OXY,6171.326737526085,0.308,1900.7686351580342,1.9007686351580342,2025-09-29
META,1.5839567108552077,743.4,1177.5134188497614,1.1775134188497614,2025-09-29
UBER,-33.55911789309191,99.57,3341.481368615161,3.341481368615161,2025-09-29
BN,-56.3393043492913,46.0933,2596.8644571631885,2.5968644571631887,2025-09-29
GOOGL,-36.085528908281916,244.05,8806.673330066202,8.806673330066202,2025-09-29
KHC,274.3030372961991,25.7,7049.588058512316,7.049588058512316,2025-09-29
AMZN,13.435315997515199,222.17,2984.9241551679515,2.9849241551679517,2025-09-29
MSFT,0.533085209452194,514.6,274.32564878409903,0.27432564878409904,2025-09-29
QSR,-11.934970156154101,65.6,782.934042243709,0.782934042243709,2025-09-29
HHH,-28.370216414603576,81.73,2318.6977875655502,2.3186977875655503,2025-09-29
NVDA,-5.360019388335561,181.85,974.7195257688218,0.9747195257688218,2025-09-29
CMG,77.33167616529087,39.9,3085.5338789951056,3.085533878995106,2025-09-29
SPY,-0.5018664332602945,663.68,333.0787144261922,0.33307871442619225,2025-09-29
GOOG,-19.63883649561787,244.36,4798.946086069183,4.798946086069184,2025-09-29
SE,9.445932448317851,181.45,1713.964442747274,1.713964442747274,2025-09-29
HLT,7.859871451174779,262.28,2061.487084214121,2.061487084214121,2025-09-29
V,4.2805770933005345,340.16,1456.08110405711,1.45608110405711,2025-09-29
IVV,-0.2889427973054063,666.76,192.6554995313527,0.1926554995313527,2025-09-29
OXY,5171.185071044904,0.308,1592.7250018818306,1.5927250018818306,2025-10-28
META,0.6930326883271334,751.44,520.7724833165412,0.5207724833165412,2025-10-28
UBER,50.76650175034296,95.43,4844.647262035229,4.844647262035229,2025-10-28
BN,-22.54196455041379,47.48,1070.2924768536468,1.0702924768536468,2025-10-28
GOOGL,-21.13503070452925,267.47,5652.986662540439,5.65298666254044,2025-10-28
KHC,66.57535816429684,25.52,1699.0031403528553,1.6990031403528554,2025-10-28
AMZN,-3.8866991641527653,229.25,891.0257833820215,0.8910257833820215,2025-10-28
MSFT,-3.6223196938451667,542.07,1963.5508364426496,1.9635508364426497,2025-10-28
QSR,-0.12694602272578542,66.73,8.471108096491662,0.008471108096491662,2025-10-28
HHH,16.62115716212212,80.77,1342.4908639846035,1.3424908639846036,2025-10-28
NVDA,-18.823908255756404,201.03,3784.17027665471,3.7841702766547103,2025-10-28
CMG,8.509836032498338,40.26,342.60599866838305,0.34260599866838304,2025-10-28
SPY,-1.1107790063478253,687.06,763.1718241013368,0.7631718241013369,2025-10-28
GOOG,-12.024775306228891,268.43,3227.8104354510215,3.2278104354510218,2025-10-28
SE,31.189525534959365,159.71,4981.27912318836,4.981279123188361,2025-10-28
HLT,2.546968692643571,260.9,664.5041319107077,0.6645041319107077,2025-10-28
V,-0.21877509065160927,346.9,75.89307894704325,0.07589307894704325,2025-10-28
IVV,-0.681199535758349,690.34,470.2592875154187,0.4702592875154187,2025-10-28
