,date,portfolio_value,cash,positions_value,num_positions,daily_return
3,2022-05-09,100000,100000,0,0,0.0
4,2022-05-10,100000,100000,0,0,0.0
5,2022-05-11,100000,100000,0,0,0.0
6,2022-05-12,100000,100000,0,0,0.0
7,2022-05-13,100000,100000,0,0,0.0
8,2022-05-16,100000,100000,0,0,0.0
9,2022-05-17,100000,100000,0,0,0.0
10,2022-05-18,100000,100000,0,0,0.0
11,2022-05-19,100000,100000,0,0,0.0
12,2022-05-20,100000,100000,0,0,0.0
13,2022-05-23,100000,100000,0,0,0.0
14,2022-05-24,100000,100000,0,0,0.0
15,2022-05-25,100000,100000,0,0,0.0
16,2022-05-26,100000,100000,0,0,0.0
17,2022-05-27,100000,100000,0,0,0.0
18,2022-05-30,100000,100000,0,0,0.0
19,2022-05-31,100000,100000,0,0,0.0
20,2022-06-01,100000,100000,0,0,0.0
21,2022-06-02,100000,100000,0,0,0.0
22,2022-06-03,100000,100000,0,0,0.0
23,2022-06-06,100000,100000,0,0,0.0
24,2022-06-07,100000,100000,0,0,0.0
25,2022-06-08,100000,100000,0,0,0.0
26,2022-06-09,100000,100000,0,0,0.0
27,2022-06-10,100000,100000,0,0,0.0
28,2022-06-13,100000,100000,0,0,0.0
29,2022-06-14,100000,100000,0,0,0.0
30,2022-06-15,100000,100000,0,0,0.0
31,2022-06-16,100000,100000,0,0,0.0
32,2022-06-17,100000,100000,0,0,0.0
33,2022-06-20,100000,100000,0,0,0.0
34,2022-06-21,100000,100000,0,0,0.0
35,2022-06-22,100000,100000,0,0,0.0
36,2022-06-23,100000,100000,0,0,0.0
37,2022-06-24,100000,100000,0,0,0.0
38,2022-06-27,100000,100000,0,0,0.0
39,2022-06-28,100000,100000,0,0,0.0
40,2022-06-29,100000,100000,0,0,0.0
41,2022-06-30,100000,100000,0,0,0.0
42,2022-07-01,100000,100000,0,0,0.0
43,2022-07-04,100000,100000,0,0,0.0
44,2022-07-05,100000,100000,0,0,0.0
45,2022-07-06,100000,100000,0,0,0.0
46,2022-07-07,100000,100000,0,0,0.0
47,2022-07-08,100000,100000,0,0,0.0
48,2022-07-11,100000,100000,0,0,0.0
49,2022-07-12,100000,100000,0,0,0.0
50,2022-07-13,100000,100000,0,0,0.0
51,2022-07-14,100000,100000,0,0,0.0
52,2022-07-15,100000,100000,0,0,0.0
53,2022-07-18,100000,100000,0,0,0.0
54,2022-07-19,100000,100000,0,0,0.0
55,2022-07-20,100000,100000,0,0,0.0
56,2022-07-21,100000,100000,0,0,0.0
57,2022-07-22,100000,100000,0,0,0.0
58,2022-07-25,100000,100000,0,0,0.0
59,2022-07-26,100000,100000,0,0,0.0
60,2022-07-27,100000,100000,0,0,0.0
61,2022-07-28,100000,100000,0,0,0.0
62,2022-07-29,100000,100000,0,0,0.0
63,2022-08-01,100000,100000,0,0,0.0
64,2022-08-02,100000,100000,0,0,0.0
65,2022-08-03,100000,100000,0,0,0.0
66,2022-08-04,100000,100000,0,0,0.0
67,2022-08-05,100000,100000,0,0,0.0
68,2022-08-08,100000,100000,0,0,0.0
69,2022-08-09,100000,100000,0,0,0.0
70,2022-08-10,100000,100000,0,0,0.0
71,2022-08-11,100000,100000,0,0,0.0
72,2022-08-12,100000,100000,0,0,0.0
73,2022-08-15,100000,100000,0,0,0.0
74,2022-08-16,100000,100000,0,0,0.0
75,2022-08-17,100000,100000,0,0,0.0
76,2022-08-18,100000,100000,0,0,0.0
77,2022-08-19,100000,100000,0,0,0.0
78,2022-08-22,100000,100000,0,0,0.0
79,2022-08-23,100000,100000,0,0,0.0
80,2022-08-24,100000,100000,0,0,0.0
81,2022-08-25,100000,100000,0,0,0.0
82,2022-08-26,100000,100000,0,0,0.0
83,2022-08-29,100000,100000,0,0,0.0
84,2022-08-30,100000,100000,0,0,0.0
85,2022-08-31,100000,100000,0,0,0.0
86,2022-09-01,100000,100000,0,0,0.0
87,2022-09-02,100000,100000,0,0,0.0
88,2022-09-05,100000,100000,0,0,0.0
89,2022-09-06,100000,100000,0,0,0.0
90,2022-09-07,100000,100000,0,0,0.0
91,2022-09-08,100000,100000,0,0,0.0
92,2022-09-09,100000,100000,0,0,0.0
93,2022-09-12,100000,100000,0,0,0.0
94,2022-09-13,100000,100000,0,0,0.0
95,2022-09-14,100000,100000,0,0,0.0
96,2022-09-15,100000,100000,0,0,0.0
97,2022-09-16,100000,100000,0,0,0.0
98,2022-09-19,100000,100000,0,0,0.0
99,2022-09-20,100000,100000,0,0,0.0
100,2022-09-21,100000,100000,0,0,0.0
101,2022-09-22,100000,100000,0,0,0.0
102,2022-09-23,100000,100000,0,0,0.0
103,2022-09-26,100000,100000,0,0,0.0
104,2022-09-27,100000,100000,0,0,0.0
105,2022-09-28,100000,100000,0,0,0.0
106,2022-09-29,100000,100000,0,0,0.0
107,2022-09-30,100000,100000,0,0,0.0
108,2022-10-03,100000,100000,0,0,0.0
109,2022-10-04,100000,100000,0,0,0.0
110,2022-10-05,100000,100000,0,0,0.0
111,2022-10-06,100000,100000,0,0,0.0
112,2022-10-07,100000,100000,0,0,0.0
113,2022-10-10,100000,100000,0,0,0.0
114,2022-10-11,100000,100000,0,0,0.0
115,2022-10-12,100000,100000,0,0,0.0
116,2022-10-13,100000,100000,0,0,0.0
117,2022-10-14,100000,100000,0,0,0.0
118,2022-10-17,100000,100000,0,0,0.0
119,2022-10-18,100000,100000,0,0,0.0
120,2022-10-19,100000,100000,0,0,0.0
121,2022-10-20,100000,100000,0,0,0.0
122,2022-10-21,100000,100000,0,0,0.0
123,2022-10-24,100000,100000,0,0,0.0
124,2022-10-25,100000,100000,0,0,0.0
125,2022-10-26,100000,100000,0,0,0.0
126,2022-10-27,100000,100000,0,0,0.0
127,2022-10-28,100000,100000,0,0,0.0
128,2022-10-31,100000,100000,0,0,0.0
0,2022-10-31,100000,100000,0,0,0.0
1,2022-11-01,100000,100000,0,0,0.0
2,2022-11-02,100000,100000,0,0,0.0
3,2022-11-03,100000,100000,0,0,0.0
4,2022-11-04,100000,100000,0,0,0.0
5,2022-11-07,100000,100000,0,0,0.0
6,2022-11-08,100000,100000,0,0,0.0
7,2022-11-09,100000,100000,0,0,0.0
8,2022-11-10,100000,100000,0,0,0.0
9,2022-11-11,100000,100000,0,0,0.0
10,2022-11-14,100000,100000,0,0,0.0
11,2022-11-15,100000,100000,0,0,0.0
12,2022-11-16,100000,100000,0,0,0.0
13,2022-11-17,100000,100000,0,0,0.0
14,2022-11-18,100000,100000,0,0,0.0
15,2022-11-21,100000,100000,0,0,0.0
16,2022-11-22,100000,100000,0,0,0.0
17,2022-11-23,100000,100000,0,0,0.0
18,2022-11-24,100000,100000,0,0,0.0
19,2022-11-25,100000,100000,0,0,0.0
20,2022-11-28,100000,100000,0,0,0.0
21,2022-11-29,100000,100000,0,0,0.0
22,2022-11-30,100000,100000,0,0,0.0
